question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Substitute 's' with 'o' in 'superorganize'.,ouperorganize,superoorganize,substitute,13,1,,superorganize,s,o,superoorganize,ouperorganize,False,0.8571428571428572,Initial,,,
Substitute 't' with 'g' in 'expatiatingly'.,expagiagingly,expagatiatingly,substitute,13,1,,expatiatingly,t,g,expagatiatingly,expagiagingly,False,0.8,Initial,,,
Substitute 'h' with 'H' in 'ophthalaiater'.,opHtHalaiater,ophthalaiatEr,substitute,13,1,,ophthalaiater,h,H,ophthalaiatEr,opHtHalaiater,False,0.7692307692307692,Initial,,,
"Substitute 'y' with '""' in 'polysidedness'.","pol""sidedness",,substitute,13,1,,polysidedness,y,"""",,"pol""sidedness",False,0.0,Initial,,,
Substitute 'n' with 'x' in 'subvention'.,subvextiox,subxention,substitute,10,1,,subvention,n,x,subxention,subvextiox,False,0.7,Initial,,,
Substitute 'i' with '9' in 'cig'.,c9g,,substitute,3,1,,cig,i,9,,c9g,False,0.0,Initial,,,
Substitute 'a' with 'l' in 'postdoctorate'.,postdoctorlte,plotdotorlate,substitute,13,1,,postdoctorate,a,l,plotdotorlate,postdoctorlte,False,0.6923076923076923,Initial,,,
Substitute 'h' with 'F' in 'fustianish'.,fustianisF,Fustianish,substitute,10,1,,fustianish,h,F,Fustianish,fustianisF,False,0.8,Initial,,,
Substitute 'o' with '\' in 'leucoquinizarin'.,leuc\quinizarin,,substitute,15,1,,leucoquinizarin,o,\,,leuc\quinizarin,False,0.0,Initial,,,
Substitute 'n' with 'F' in 'disenchanter'.,diseFchaFter,,substitute,12,1,,disenchanter,n,F,,diseFchaFter,False,0.0,Initial,,,
Substitute 'w' with 'L' in 'stonewally'.,stoneLally,stonewally,substitute,10,1,,stonewally,w,L,stonewally,stoneLally,False,0.9,Initial,,,
Substitute 'r' with 'A' in 'intramatrically'.,intAamatAically,,substitute,15,1,,intramatrically,r,A,,intAamatAically,False,0.0,Initial,,,
Substitute 'e' with 'm' in 'interassociation'.,intmrassociation,intermassociation,substitute,16,1,,interassociation,e,m,intermassociation,intmrassociation,False,0.8823529411764706,Initial,,,
Substitute 'r' with 'A' in 'intercoccygean'.,inteAcoccygean,,substitute,14,1,,intercoccygean,r,A,,inteAcoccygean,False,0.0,Initial,,,
Substitute 'y' with 'F' in 'frequently'.,frequentlF,Frequenctly,substitute,10,1,,frequently,y,F,Frequenctly,frequentlF,False,0.7272727272727273,Initial,,,
Substitute 'r' with '6' in 'scriptitiously'.,sc6iptitiously,,substitute,14,1,,scriptitiously,r,6,,sc6iptitiously,False,0.0,Initial,,,
Substitute 'd' with '(' in 'predestinational'.,pre(estinational,(preestini(tional),substitute,16,1,,predestinational,d,(,(preestini(tional),pre(estinational,False,0.7222222222222222,Initial,,,
Substitute 'r' with 'd' in 'achromatization'.,achdomatization,adchromatization,substitute,15,1,,achromatization,r,d,adchromatization,achdomatization,False,0.875,Initial,,,
Substitute 'y' with 'b' in 'uncultivability'.,uncultivabilitb,,substitute,15,1,,uncultivability,y,b,,uncultivabilitb,False,0.0,Initial,,,
Substitute 'l' with 'P' in 'epigastrocele'.,epigastrocePe,Pe Pigastocele,substitute,13,1,,epigastrocele,l,P,PePigastocele,epigastrocePe,False,0.6923076923076923,Initial,,,
Substitute 'u' with 'e' in 'sus'.,ses,es,substitute,3,1,,sus,u,e,es,ses,False,0.6666666666666667,Initial,,,
Substitute 'a' with '_' in 'pal'.,p_l,,substitute,3,1,,pal,a,_,,p_l,False,0.0,Initial,,,
Substitute 'r' with '&' in 'noncataloguer'.,noncatalogue&,n&oncatalogue&r,substitute,13,1,,noncataloguer,r,&,n&oncatalogue&r,noncatalogue&,False,0.8666666666666667,Initial,,,
Substitute 'c' with 'n' in 'jacobitical'.,janobitinal,,substitute,11,1,,jacobitical,c,n,,janobitinal,False,0.0,Initial,,,
Substitute 'b' with '}' in 'noncapsizable'.,noncapsiza}le,{}},substitute,13,1,,noncapsizable,b,},{}},noncapsiza}le,False,0.07692307692307687,Initial,,,
Substitute 'l' with '&' in 'histomorphologically'.,histomorpho&ogica&&y,&s tom orphologica&ly,substitute,20,1,,histomorphologically,l,&,&stomorphologica&ly,histomorpho&ogica&&y,False,0.8,Initial,,,
Substitute 'a' with '|' in 'lar'.,l|r,|lar,substitute,3,1,,lar,a,|,|lar,l|r,False,0.5,Initial,,,
Substitute 'r' with 'l' in 'tidesurveyor'.,tidesulveyol,tideslsveytor,substitute,12,1,,tidesurveyor,r,l,tideslsveytor,tidesulveyol,False,0.6923076923076923,Initial,,,
Substitute 'y' with 'C' in 'assumingly'.,assuminglC,ASSUCmingly,substitute,10,1,,assumingly,y,C,ASSUCmingly,assuminglC,False,0.4545454545454546,Initial,,,
Substitute 'g' with 'S' in 'glottogony'.,SlottoSony,,substitute,10,1,,glottogony,g,S,,SlottoSony,False,0.0,Initial,,,
Substitute 'y' with 'K' in 'photoconductivity'.,photoconductivitK,photoconductivity,substitute,17,1,,photoconductivity,y,K,photoconductivity,photoconductivitK,False,0.9411764705882353,Initial,,,
Substitute 'h' with 'q' in 'proctorrhagia'.,proctorrqagia,proqctorqhia,substitute,13,1,,proctorrhagia,h,q,proqctorqhia,proctorrqagia,False,0.6923076923076923,Initial,,,
Substitute 'p' with 'w' in 'representer'.,rewresenter,werpresenter,substitute,11,1,,representer,p,w,werpresenter,rewresenter,False,0.75,Initial,,,
Substitute 't' with 'O' in 'internunciatory'.,inOernunciaOory,inernunciatory,substitute,15,1,,internunciatory,t,O,inernunciatory,inOernunciaOory,False,0.8666666666666667,Initial,,,
Substitute 'c' with 'v' in 'pallescence'.,pallesvenve,,substitute,11,1,,pallescence,c,v,,pallesvenve,False,0.0,Initial,,,
Substitute 'i' with 'F' in 'interdetermination'.,FnterdetermFnatFon,,substitute,18,1,,interdetermination,i,F,,FnterdetermFnatFon,False,0.0,Initial,,,
Substitute 'd' with 'y' in 'uninferred'.,uninferrey,uinified,substitute,10,1,,uninferred,d,y,uinified,uninferrey,False,0.4,Initial,,,
Substitute 'o' with '3' in 'chemicomineralogical'.,chemic3mineral3gical,,substitute,20,1,,chemicomineralogical,o,3,,chemic3mineral3gical,False,0.0,Initial,,,
Substitute 'e' with 'H' in 'emancipatress'.,HmancipatrHss,Hmancipatress,substitute,13,1,,emancipatress,e,H,Hmancipatress,HmancipatrHss,False,0.9230769230769231,Initial,,,
Substitute 'r' with 'm' in 'reprohibit'.,mepmohibit,,substitute,10,1,,reprohibit,r,m,,mepmohibit,False,0.0,Initial,,,
Substitute 'l' with 't' in 'electrophrenic'.,etectrophrenic,eceptrophenic,substitute,14,1,,electrophrenic,l,t,eceptrophenic,etectrophrenic,False,0.7857142857142857,Initial,,,
Substitute 'd' with 'j' in 'unmobilized'.,unmobilizej,unjimilized,substitute,11,1,,unmobilized,d,j,unjimilized,unmobilizej,False,0.6363636363636364,Initial,,,
Substitute 'e' with '1' in 'east'.,1ast,ast,substitute,4,1,,east,e,1,ast,1ast,False,0.75,Initial,,,
Substitute 'c' with 'X' in 'sclerodermia'.,sXlerodermia,Xlerodermia,substitute,12,1,,sclerodermia,c,X,Xlerodermia,sXlerodermia,False,0.9166666666666666,Initial,,,
Substitute 'o' with 'a' in 'joni'.,jani,,substitute,4,1,,joni,o,a,,jani,False,0.0,Initial,,,
Substitute 's' with '2' in 'oscillographic'.,o2cillographic,,substitute,14,1,,oscillographic,s,2,,o2cillographic,False,0.0,Initial,,,
Substitute 'd' with 'w' in 'undergreen'.,unwergreen,,substitute,10,1,,undergreen,d,w,,unwergreen,False,0.0,Initial,,,
Substitute 'c' with 'B' in 'cheremissian'.,Bheremissian,beremissian,substitute,12,1,,cheremissian,c,B,beremissian,Bheremissian,False,0.8333333333333334,Initial,,,
Substitute 'n' with '7' in 'paleodendrologic'.,paleode7drologic,paeldento7ologic,substitute,16,1,,paleodendrologic,n,7,paeldento7ologic,paleode7drologic,False,0.625,Initial,,,
Substitute 't' with 'r' in 'telautomatically'.,relauromarically,relautomatically,substitute,16,1,,telautomatically,t,r,relautomatically,relauromarically,False,0.875,Initial,,,
Substitute 't' with 'S' in 'undervaulting'.,undervaulSing,undervaulsing,substitute,13,1,,undervaulting,t,S,undervaulsing,undervaulSing,False,0.9230769230769231,Initial,,,
Substitute 'v' with 'F' in 'seclusively'.,seclusiFely,sclusively,substitute,11,1,,seclusively,v,F,sclusively,seclusiFely,False,0.8181818181818181,Initial,,,
Substitute 'u' with '}' in 'tuno'.,t}no,t}{o},substitute,4,1,,tuno,u,},t}{o},t}no,False,0.6,Initial,,,
Substitute 'r' with ']' in 'arsenferratose'.,a]senfe]]atose,,substitute,14,1,,arsenferratose,r,],,a]senfe]]atose,False,0.0,Initial,,,
Substitute 't' with 'c' in 'respiteless'.,respiceless,crespicless,substitute,11,1,,respiteless,t,c,crespicless,respiceless,False,0.8181818181818181,Initial,,,
Substitute 's' with 'b' in 'pesterment'.,pebterment,bbterment,substitute,10,1,,pesterment,s,b,bbterment,pebterment,False,0.8,Initial,,,
Substitute 'h' with '#' in 'pseudophilanthropic'.,pseudop#ilant#ropic,,substitute,19,1,,pseudophilanthropic,h,#,,pseudop#ilant#ropic,False,0.0,Initial,,,
Substitute 'r' with 'X' in 'presentence'.,pXesentence,peXentence,substitute,11,1,,presentence,r,X,peXentence,pXesentence,False,0.8181818181818181,Initial,,,
Substitute 'i' with 'K' in 'phenotypically'.,phenotypKcally,,substitute,14,1,,phenotypically,i,K,,phenotypKcally,False,0.0,Initial,,,
Substitute 'u' with ''' in 'uval'.,'val,\'\'\'val,substitute,4,1,,uval,u,',\'\'\'val,'val,False,0.4444444444444444,Initial,,,
Substitute 'n' with 'z' in 'tuscanlike'.,tuscazlike,tzczaltzlik,substitute,10,1,,tuscanlike,n,z,tzczaltzlik,tuscazlike,False,0.4545454545454546,Initial,,,
Substitute 'r' with ']' in 'nonclergyable'.,noncle]gyable,noncl[geryable,substitute,13,1,,nonclergyable,r,],noncl[geryable,noncle]gyable,False,0.7142857142857143,Initial,,,
Substitute 't' with '[' in 'infratracheal'.,infra[racheal,,substitute,13,1,,infratracheal,t,[,,infra[racheal,False,0.0,Initial,,,
Substitute 'o' with 'b' in 'unthoughtlike'.,unthbughtlike,ubnthresholdlike,substitute,13,1,,unthoughtlike,o,b,ubnthresholdlike,unthbughtlike,False,0.5625,Initial,,,
Substitute 't' with 'O' in 'prediagnostic'.,prediagnosOic,predOanic,substitute,13,1,,prediagnostic,t,O,predOanic,prediagnosOic,False,0.6153846153846154,Initial,,,
Substitute 'g' with 'j' in 'gradational'.,jradational,jaditional,substitute,11,1,,gradational,g,j,jaditional,jradational,False,0.8181818181818181,Initial,,,
Substitute 's' with '#' in 'probabiliorism'.,probabiliori#m,#babilior#ism,substitute,14,1,,probabiliorism,s,#,#babilior#ism,probabiliori#m,False,0.6428571428571428,Initial,,,
Substitute 'n' with '\' in 'physostigmine'.,physostigmi\e,physosti\\\\gmine,substitute,13,1,,physostigmine,n,\,physosti\\\\gmine,physostigmi\e,False,0.7058823529411764,Initial,,,
Substitute 'n' with 'i' in 'anesthetically'.,aiesthetically,,substitute,14,1,,anesthetically,n,i,,aiesthetically,False,0.0,Initial,,,
Substitute 'i' with 'H' in 'colonizationist'.,colonHzatHonHst,coHlonizationist,substitute,15,1,,colonizationist,i,H,coHlonizationist,colonHzatHonHst,False,0.75,Initial,,,
Substitute 'a' with '_' in 'galp'.,g_lp,_glp,substitute,4,1,,galp,a,_,_glp,g_lp,False,0.5,Initial,,,
Substitute 'e' with '2' in 'sulfanilylguanidine'.,sulfanilylguanidin2,sulfanily2lyguanidine,substitute,19,1,,sulfanilylguanidine,e,2,sulfanily2lyguanidine,sulfanilylguanidin2,False,0.8571428571428572,Initial,,,
